total_bill,tip,sex,smoker,day,time,size
16.99,1.01,Female,No,Sun,Dinner,2
,,,,,,
10.34,1.66,Male,No,Sun,Dinner,3
21.01,3.5,Male,No,Sun,Dinner,3
23.68,3.31,Male,No,Sun,Dinner,2
27.73,7.3,Male,Yes,Thur,Lunch,3
48.04,3.74,Male,No,Fri,Lunch,6
16.77,1.04,Female,No,Sun,Lunch,6
7.17,9.07,Male,Yes,Thur,Lunch,1
35.68,3.99,Male,Yes,Thur,Dinner,6
42.83,1.01,Male,Yes,Thur,Dinner,1
24.62,5.74,Male,Yes,Sun,Lunch,5
5.96,6.59,Female,No,Sat,Dinner,6
8.59,2.75,Male,No,Fri,Lunch,6
45.85,4.65,Male,Yes,Sat,Dinner,1
24.82,1.86,Female,Yes,Sun,Dinner,2
32.61,3.84,Male,No,Thur,Dinner,5
6.52,7.34,Male,No,Fri,Dinner,6
12.55,2.89,Female,No,Sun,Lunch,1
26.63,2.1,Female,No,Sat,Lunch,4
9.02,2.1,Male,Yes,Sun,Dinner,4
42.04,9.33,Male,Yes,Sat,Dinner,6
5.84,8.5,Female,No,Thur,Lunch,2
42.04,2.1,Female,No,Sat,Lunch,6
27.79,2.25,Female,Yes,Thur,Lunch,3
32.93,7.05,Female,Yes,Sat,Dinner,6
38.98,6.59,Female,No,Sun,Dinner,4
28.44,8.87,Male,Yes,Sat,Lunch,6
22.48,4.97,Male,No,Sat,Dinner,2
42.39,2.77,Female,No,Sun,Dinner,3
40.31,6.66,Female,Yes,Sat,Dinner,5
35.21,9.94,Male,Yes,Fri,Dinner,3
46.13,5.64,Female,Yes,Thur,Dinner,1
28.65,4.68,Male,Yes,Sat,Lunch,3
9.6,6.75,Male,Yes,Sun,Dinner,6
16.92,7.68,Male,No,Sat,Dinner,5
21.44,8.47,Female,No,Fri,Lunch,4
31.16,8.09,Female,Yes,Fri,Lunch,4
38.06,3.27,Male,No,Fri,Lunch,4
14.38,8.8,Male,Yes,Fri,Lunch,3
29.2,4,Female,Yes,Thur,Lunch,1
38.31,1.23,Male,Yes,Sat,Lunch,5
49.59,9.02,Female,No,Fri,Dinner,5
43.03,7.82,Female,No,Fri,Dinner,5
34.75,1.94,Male,Yes,Sun,Dinner,1
38.78,7.97,Female,Yes,Thur,Dinner,5
20.21,7.57,Male,No,Sun,Lunch,1
40.02,8.29,Male,No,Fri,Lunch,6
45.91,5.38,Male,Yes,Sun,Lunch,6
13.52,4.9,Female,No,Sun,Dinner,4
40.14,6.96,Female,No,Sat,Lunch,5
